test_idx,spma_top5,attn_top5,jaccard
0,"2,14,50,78,122","132,49,4,148,120",0.000000
1,"4,12,84,104,140","102,4,90,120,14",0.111111
2,"0,4,44,72,88","31,14,120,90,9",0.000000
3,"84,104,108,128,132","144,4,120,20,148",0.000000
4,"38,42,70,74,82","4,120,144,20,90",0.000000
5,"36,40,52,116,120","136,44,72,125,108",0.000000
6,"0,8,16,72,84","4,44,120,43,88",0.000000
7,"8,68,76,84,112","123,4,23,120,31",0.000000
8,"50,90,98,130,142","120,57,4,90,144",0.111111
9,"36,52,76,96,136","4,120,144,31,148",0.000000
10,"24,60,92,116,140","120,20,137,31,90",0.000000
11,"64,76,84,108,148","4,49,144,31,44",0.000000
12,"38,86,90,114,130","4,44,52,41,31",0.000000
13,"4,16,36,48,120","90,148,20,47,44",0.000000
14,"4,16,28,72,76","120,4,31,2,147",0.111111
15,"4,8,40,44,116","4,120,31,147,20",0.111111
16,"10,26,42,78,86","4,31,132,120,148",0.000000
17,"0,36,44,60,112","120,4,31,2,49",0.000000
18,"28,56,64,80,96","31,90,4,120,52",0.000000
19,"4,16,28,44,84","120,4,147,88,0",0.111111
20,"26,70,82,122,146","120,4,31,88,137",0.000000
21,"68,72,112,120,128","4,88,120,21,148",0.111111
22,"0,24,28,92,116","120,137,72,108,90",0.000000
23,"12,16,68,76,88","120,4,14,90,31",0.000000
24,"10,14,22,114,130","31,20,14,123,120",0.111111
25,"20,60,80,128,136","148,31,14,4,88",0.000000
26,"20,24,32,76,136","4,120,148,57,31",0.000000
27,"8,52,68,136,148","120,4,147,132,0",0.000000
28,"26,42,82,98,126","4,102,120,43,132",0.000000
29,"12,32,88,96,148","20,148,132,14,0",0.111111
30,"16,68,100,112,136","136,19,4,144,31",0.111111
31,"16,52,116,120,136","4,31,120,90,2",0.111111
32,"2,38,46,66,126","120,4,88,137,20",0.000000
33,"16,32,100,104,148","4,31,120,71,144",0.000000
34,"20,32,44,84,88","31,52,25,90,4",0.000000
35,"24,72,84,116,148","20,132,31,69,120",0.000000
36,"2,42,62,82,142","4,31,21,120,137",0.000000
37,"52,80,92,116,136","120,4,90,8,148",0.000000
38,"12,28,108,128,132","90,72,23,123,31",0.000000
39,"8,28,56,76,132","4,120,31,72,25",0.000000
40,"34,78,106,138,142","90,120,31,137,72",0.000000
41,"16,24,40,48,68","4,72,147,120,31",0.000000
42,"0,12,72,112,120","4,120,71,111,31",0.111111
43,"16,20,120,132,148","31,4,14,144,72",0.000000
44,"22,62,70,82,110","30,57,120,148,0",0.000000
45,"4,24,68,72,116","4,31,120,14,90",0.111111
46,"72,92,108,112,116","120,14,4,148,90",0.000000
47,"28,64,80,100,104","148,4,9,88,90",0.000000
48,"34,54,66,86,146","4,120,97,2,147",0.000000
49,"24,68,72,84,124","120,20,102,117,0",0.000000
